키워드,제목,요약,원문링크,발행일(KST),수집시각(KST),출처
한국산업인력공단,"산업인력공단, 시험 소송 5년간 106건…공정성 논란 반복 - 뉴스1",본문 추출 실패,https://news.google.com/rss/articles/CBMiX0FVX3lxTFBkWlNXTzhGSHJGbmFDdTZMNllMajRhbURsUFM4LTFxeWdUbV9OcENiWktQR1EzcTdoN0ZIMTIzSTNja3lLR0pjQ0xHSFhLNzhzQUo4ZjVVa05QZkMwN2tV?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-22 16:00,2025-12-01 11:16,news.google.com
한국산업인력공단,"한국산업인력공단 경기남부지사, 외국인근로자 산업재해 예방 캠페인 펼쳐 - 경인매일",본문 추출 실패,https://news.google.com/rss/articles/CBMiaEFVX3lxTE5XX3NUZHJ3OGxjQ0t2Q2lwME4zRGJPRUZMdFZlV3pGYWl4Qmk5cE9LUUp5NzRhX19oNVh2dlFyb1MzSzVnU3FXNzlRb2QxYVFRbWNScVh1TEE3bm5aZVpVTGRkamcwU041?oc=5&hl=en-US&gl=US&ceid=US:en,2025-09-22 16:00,2025-12-01 11:16,news.google.com
한국산업인력공단,"씨엔알리서치, '공정채용 우수기업 어워즈'서 한국산업인력공단 이사장상 수상 - 프라임경제",본문 추출 실패,https://news.google.com/rss/articles/CBMiY0FVX3lxTE1OUUxMc094T25SVkZLUGV2b1d2QWdVTDJzaFZqdGJYbm1CY0lHYXh1OXJQeExsM3BYTDNvZHlxWTN1Z0FIVV9lbUhwRXVCaDE0dzRHcC1nejFKcDVBb05qcVM1OA?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-11 10:52,2025-12-01 11:16,news.google.com
한국산업인력공단,시험 안 봤는데 합격?…산업인력공단 '기관경고' - v.daum.net,본문 추출 실패,https://news.google.com/rss/articles/CBMiT0FVX3lxTE1QMUFodkQzMDlSNzRCZll6alkybHJlUmRNN1pJWlk5ak1XYl9NZGN1cW5RT3ZJeUdVaVBZT0s3dFdnUzhLcmJVekp6VU1zeXc?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-20 16:00,2025-12-01 11:16,news.google.com
한국산업인력공단,한국산업인력공단 '2025 우수 순력기술자'에 제주 3명 선정 - 헤드라인제주,본문 추출 실패,https://news.google.com/rss/articles/CBMic0FVX3lxTE9qU0pmUEw0cjh5NHlydjUyODFZX2tKVTF2V2NtbWhYSGM0TkMya3NhMWpLdVN1NEdxaE1hQVFnNHJTOFJWZ2YxcVFOR2FUd1ZrZm1ObTFYNVVMdTBHLWltNUxCR3ktSnJXSFYyRFhMdEJKazg?oc=5&hl=en-US&gl=US&ceid=US:en,2025-09-12 16:00,2025-12-01 11:16,news.google.com
한국산업인력공단,"한국산업인력공단, 기업 맞춤형 진단으로 위기 탈출 기틀 마련[희망·행복 주는 기업] - 네이트",본문 추출 실패,https://news.google.com/rss/articles/CBMiU0FVX3lxTFBzRWswdXJsVlVoWGJMT3ZMazUySzJlc29iWTdnTkRhT1h3aDlWVFdJQnhvMk1YNkQ2RlBXSkpBVkN2b09wTTJxMy1aQUNZOTl5S3Uw?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-25 05:04,2025-12-01 11:16,news.google.com
한국산업인력공단,[전문가 기고] 소외를 넘어 일자리 동행의 길을 찾다: 국가기술자격의 역할 - 아주경제,본문 추출 실패,https://news.google.com/rss/articles/CBMiWkFVX3lxTE41RGtrNC1EcnNvUGVJM1ZjbmJPTTFsRHU0R2g0aWR4MkNFdEdTNWktaFl4SmFxaW9xRm1IRHBPM21QMTFPZkxyRnRMME5yd2VNeFNqY0pENzBLUQ?oc=5&hl=en-US&gl=US&ceid=US:en,2025-12-01 05:00,2025-12-01 11:16,news.google.com
한국산업인력공단,"한국산업인력공단, 국가자격시험 출제 문항 AI 분석 시스템 도입...‘시험문제 난이도 최적화’ - knn.co.kr",본문 추출 실패,https://news.google.com/rss/articles/CBMiVkFVX3lxTE5EUEI2aGM1c0c2XzBZTy14bzFBSW52Z016UUN2V2c5ekJDQXo1bUFaR3ZRZmdQMHI0N3ZZTG1YTmR3Vm9EaWF5SXBFeWVYaVFsMjZTNHZR?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-25 09:53,2025-12-01 11:16,news.google.com
한국산업인력공단,"한국산업인력공단, 기업 맞춤형 진단으로 위기 탈출 기틀 마련[희망·행복 주는 기업] - 서울신문",본문 추출 실패,https://news.google.com/rss/articles/CBMie0FVX3lxTE0ybnJ1YXFOeG5GeDU0dzlYbVNDZF9nWF96TWxqb2ZVT2pkdl9fTVVBc1gyTDFBcUVQbktUQXQ3d0hvcnk0endCVXQ3NTBiNzE5SDczVGY2Q0tUYmpyS0hJa2pDRlMtWE1CMC1qeGJGZW0tS0lMQ0RJVE5vbw?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-25 00:05,2025-12-01 11:16,news.google.com
한국산업인력공단,"한국산업인력공단, AI 기반 출제 시스템 도입…국가자격시험 디지털 혁신 - 내외뉴스통신",본문 추출 실패,https://news.google.com/rss/articles/CBMia0FVX3lxTFBiZFBmYmhCTFh1Mk5FRGpHT3ZObWlTSDdhR2plTXlNVTVwV3hXdzg5cTl3bFNtNnM5REdDYXhMWE5ZMkVwaHVjek9MU2Rrelp3dHBWcTk0SFEwR09jUmRCU3hnQkQ5aks5TTd30gFvQVVfeXFMTUQ5bzR0Q1FnMlROV1F3cXMtN3ptNm9fUEJVR1NYN0VacWg2d0MzQzJUWHpaWUd1dkpRcGJ3aDg2aGlaNWZkQnFuRFVuVXV2cDVBTmlPTXNmYzNVYnAyVmh6TGZ3clBfcWhYMExEdjZn?oc=5&hl=en-US&gl=US&ceid=US:en,2025-11-25 15:16,2025-12-01 11:16,news.google.com
