키워드,제목,원문링크,발행일(KST),수집시각(KST),출처
한국산업인력공단,"“한국산업인력공단, 시험 운영 신뢰 흔들… 고질적 문제” 지적 - 경안일보",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5KX3J5RzdXU2R2MUhGNW92ZTh3T1drVWlwb2tXYUR0WTVYckt1LUVIS05pN0ZLUlhsRUhIcnFLZ2ZzcjRlM2pvM2R3OEYyVEYwTmluOF93RFNxcUNyN0FwbUVhdkRRLWPSAWtBVV95cUxNYll1Y0RHb2FBb1JOVVVhV3ViYVUxTGZrNnRzS1hDVG82bC1vN3U0Zm9HNVBtajE3cUJ1LTRkQlBzMGN2T21wOTdHRFFEMDdhS0Y1dTM2MWNaUF9FMEdTMTFMR2Q5Q2ttdWVqWQ?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-22 21:22,2025-10-30 14:01,news.google.com
한국산업인력공단,"산업인력공단, 중기 근로자 훈련지원…AI 역량 등 비용 90% 보조 - 연합뉴스",https://news.google.com/rss/articles/CBMiW0FVX3lxTFBXR3A0Zm9ZanN3WmFYWmNqNGV1LThMSGFrRGRKM0VkdGJBMTdrcndKQ0hqZGtQUkdSd3Nvem82c2FjQWhuNWxFN0hUTS1td3E0bW5vUmp2ZkM5YTTSAWBBVV95cUxOLVRpMDdjVkN2TE9NQzlhSXJYTUctT01NbXRxRU40VnRmUi1zUlN3MEgwc3hDYmpfVHJSYmlYU0F2R1pzajJVZVhkZWF5SzlVN3YtQ190R3p0TUE2SC1jUEM?oc=5&hl=en-US&gl=US&ceid=US:en,2025-09-16 16:00,2025-10-30 14:01,news.google.com
한국산업인력공단,"한국산업인력공단, 2020년 이후 시험 관련 소송만 106건…논란 반복에도 부실 운영 되풀이 - 도민연합뉴스",https://news.google.com/rss/articles/CBMiaEFVX3lxTE0wbndpclE1VWZZelFFT21iQV9iQ1REWFlrUktINEJiSk9yRUdoNEtyY0lVUXFfQkFaaTREOTRjbmdDUW5mNmhwcVZYUFdSZWhPOHdKU3NudHROUFFpNE5xazE3WmNoZzBn?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-22 08:48,2025-10-30 14:01,news.google.com
한국산업인력공단,"한국산업인력공단, 고용노동부 공공기관 브랜드평판 2025년 10월...1위 - 비욘드포스트",https://news.google.com/rss/articles/CBMifEFVX3lxTFAxc2luQUVub1hnSVZ2WEdaNnFZT25NMUhwaHJpVllKb0RmOGFhd2hpVDJWZm1HTHRVdU5jLUxnekRuLWJfRzgxaUVLcDJtVVlUcVZFZ1dvaDhMckhLSDhBOEdVZTJHU3AxMTUxcmw4OV9wTXVDWUs5WUxCME4?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-21 08:35,2025-10-30 14:01,news.google.com
한국산업인력공단,"한국산업인력공단, ""논란 반복에도 부실 운영 되풀이, 공정성은 뒷전"" - 핀포인트뉴스",https://news.google.com/rss/articles/CBMic0FVX3lxTE5lM050M3dQaG5UZ2VfYzRPSkZMejNrNzd3SDRmR0VmSlYyVEdsV2FBdmhYcUxscThMWnMwWGFJNXU3bjRMbTcyaXFyamVLYnhsNkM4RUg3RWdvMkk4SzBxZXdDTVJjcTJpRENINEE1eVVpSzg?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-22 09:06,2025-10-30 14:01,news.google.com
직업훈련,광주 광산구 고용위기 선제대응지역 지정에…직업훈련 지원 혜택 - 노컷뉴스,https://news.google.com/rss/articles/CBMiUkFVX3lxTE13VWVWTW85UmpRYWRqejRSeU9ZUFIzTmItc0R5cmRJZlFCRDdaWDN0c3hmTk9DNU44d283aF9KX2F3OUNrS0VqNm9tSy1uQkRybUE?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-17 16:00,2025-10-30 14:01,news.google.com
직업훈련,전 과정 무료! '4050직업훈련'으로 재취업 도전하세요 - 내 손안에 서울,https://news.google.com/rss/articles/CBMiWEFVX3lxTE1ETlpGTWJPN0xfSDV0VXNCa2ttTFlzQ3Rrc0Y0dV9oOGJaT2VtSl8wd25RcnJVSUtDRzJNYmpDX21rZFprUDZnVlFPZVVOa2NZSnh0cF9QU1A?oc=5&hl=en-US&gl=US&ceid=US:en,2025-04-14 16:00,2025-10-30 14:01,news.google.com
직업훈련,광트리 산악지대 장애인 직업훈련 - Vietnam.vn,https://news.google.com/rss/articles/CBMihwFBVV95cUxNMEJzVHBkNDROTEUzTG9fV0lPX045YkpaUHJidjhNYjd0WVlZc0hyWUlydHMyRm5acE9FVTF3ZDlsdlN6WWJybW1LWkhOczBXMVBzZDc5OXNxSks0clRWT2haSjcxRGQwcUJlWFJpMFhtSjQ2RnhEMERPZ2cxak1sWm0yelRiNE0?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-27 09:31,2025-10-30 14:01,news.google.com
직업훈련,사회권으로서의 직업훈련 - 법률신문,https://news.google.com/rss/articles/CBMiU0FVX3lxTE5nTllpM0ltRjVxRVdwaGNqWjdwb21DeGtFbnJybkVVVVEtRXdrS2Z4Wl9ZRnBCRHQxQ0RYUDJuTWRLSkliY3FrZE55UF9RRlQ3aWUw?oc=5&hl=en-US&gl=US&ceid=US:en,2025-09-13 05:10,2025-10-30 14:01,news.google.com
직업훈련,노동시장과 연계된 직업훈련시설을 마련하고 계획한다. - Vietnam.vn,https://news.google.com/rss/articles/CBMinwFBVV95cUxQZmpfOGNGOTVLaDZiLVd6ejhrdVlDdFBmVWt0VjE2ejlucmdSeG1GdElKQXY3VGJ4Mjc2NEphSzJDQUMya1k1dVFIU3FjV2w0UFExWlpQZ0ZYT2ttQ1I4d2FjNlgzaGtWUF93RkJoeC1YeFg1NGozd3ZwczBIZkZBR2t6SlYxY3JMTndPTDJGeXlBU2c2QWJGQzBNYjkzdHM?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-23 23:07,2025-10-30 14:01,news.google.com
직업훈련,"대전자동차정비학원 현대직업전문학교, 직업능력심사평가원 직업훈련 혁신 ‘우수상’ 수상 - 데일리시큐",https://news.google.com/rss/articles/CBMibEFVX3lxTE1QeXh1OXhOQXpOS3oyajd1YkNaRnphN0VmUXc0SkctTmtWenN6TW5nYmFhTEV6MFQ3YkJ4a0NVYWVzRzVXVW5hMmQ2cVZXYnl3YVJ0NDVNSnFCWUx3UTNmaUcyU1lnUEdTME9uLQ?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-05 16:00,2025-10-30 14:01,news.google.com
직업훈련,직업훈련장려금 17년째 동결… 생활고 시달리는 훈련생들 - 충청투데이,https://news.google.com/rss/articles/CBMibkFVX3lxTE9yQ3pnZ1M4a0NZamVFN2hvYkFodXJEdk9CRUMwR190OGFlX0c4a09TeHNPQW1aS2Z3OE95OXFVeTQyUGJWZU5ucHpybmliUHdqVzUtNUxwcG1WX0ZpMV93RENRRW5EdjFud01pbVVR?oc=5&hl=en-US&gl=US&ceid=US:en,2025-09-11 16:00,2025-10-30 14:01,news.google.com
직업훈련,챗지피티·인공지능·빅데이터…스마트 직업훈련 플랫폼 확대 운영 - 대한민국 정책브리핑,https://news.google.com/rss/articles/CBMibEFVX3lxTE9Gcl9aWWp2YVpPUld2RWU5M01ucnozdXBGeTNCaDlaWU4wXzhGcVgtV3MzN2JNNG9UQ0dkb3Fmd2NISXZta1hhM3lXeHpBeVp1Z0t6YWI5akpTTFNuUDNSZVZvd0xMMDNKRWR3Tw?oc=5&hl=en-US&gl=US&ceid=US:en,2025-06-02 16:00,2025-10-30 14:01,news.google.com
직업훈련,"한국가스기술인협회, 후반기 직업훈련 무료교육 실시 - 가스신문",https://news.google.com/rss/articles/CBMiakFVX3lxTE1UZ1RtWnZOUDhkeDQ4dnVMRVIxQVRXTDhxRFVWSl9wT05tUklTYTgzVC1jYk90aWVCX0MyRkl5cGYxWFBrTzJRNkFHMkJBRFRncTJDYmpHdnljWEVtVzN3WFBBNkFUQ3RIQmfSAW5BVV95cUxNNGZkWHFtaTNHSExCZnZ5dm12OTZOcTJvNUpkd0QwN1RWQ1Q2MXpTTEhhRk1GNEJBbEpXZm5lNUJKdWYwWW94MHNJS293S2s2Y01qMXBjc1pJSjRXNHhRNkJGNzlHSlRXZmNSTnUzZw?oc=5&hl=en-US&gl=US&ceid=US:en,2025-08-26 16:00,2025-10-30 14:01,news.google.com
직업훈련,2025년 2/4분기(2차) 하나원 ｢심화 직업훈련과정｣ 참여자 모집 공고 공지사항 조회 - 통일부,https://news.google.com/rss/articles/CBMilwFBVV95cUxNeTFRTHo0bTdfTG5PN2t1LTBaZ3haTF85blFUbVBDVDBXRUVoMDllOGdOR0ZkQmZqUjM5TmtqZ0lKWkZpdFlYTG9QQzZZMGdFU2tmLWZwcHlmcVlpSWdjYnBpeldxNl9KNFNka1pnQ2JER203Rk1JcHotbjNlY3ZBQm5vbkotUGRCbndhTHJzWXkxNGhvbVNz?oc=5&hl=en-US&gl=US&ceid=US:en,2025-04-07 16:00,2025-10-30 14:01,news.google.com
직업훈련,예술 분야 특정 직업 훈련의 장애물과 어려움 제거 - Vietnam.vn,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPX3R0Z2dHYTlNTnNXSTg3cHl4cjd4cnE2cXRXekZnNzE4VnZYRTBBbmVYdUxCZ2ZSemlwdmlyakFwcWtDdi1YZG1HMEdRMmo1U2xpSlNLak02Sk5GLWRDeERIVFJKOVc3b1kwT3pZaW1yeGdtajZkX2tYT0htaEEzMVBxS3RKOUl1cTIzUVBXMmNha2cxRlYwcGVQOEhTdXdsSlpybkZONTBYdFVhNS10X1UtZVEyMVBjS3E4?oc=5&hl=en-US&gl=US&ceid=US:en,2025-10-22 23:42,2025-10-30 14:01,news.google.com
직업훈련,"""직업훈련 최고 전문가 찾는다"" 한기대, 13기 스타훈련교사 모집 시작 - 머니투데이 - 머니투데이",https://news.google.com/rss/articles/CBMiakFVX3lxTFBQa1dJYnY3bm5jZTFDWnV0aW9ENi01TEhqdVIxUmx5MktPUmtFTDQwSXhKNmkxZ1o3bEtVMUM4UXZVeXpidnFXVDNzMldBbEl3bWt2dThpcFZ1R1lPdDQ2dTlIdG1BYkZNSWfSAW9BVV95cUxQcnlkNWw3b0Rzakp6VFowXzAyNWlGa1laY0dqOXFaTGJCWTVfYkxUT3FhODdtTjVxNlk2MkpFMHdaUWJfOVk4eU9wUktfYnhPdGQ0dEEySUx0a2VfVDlVeF92cFFhdDdFcE9fa0lGc00?oc=5&hl=en-US&gl=US&ceid=US:en,2025-08-20 16:00,2025-10-30 14:01,news.google.com
